,full_name,squad,selected,position,team_code
458,Lucas_Torreira,Arsenal,90529.0,3.0,12
459,Cenk_Tosun,Everton,302582.0,4.0,17
460,Andros_Townsend,Crystal Palace,115533.0,3.0,13
461,Adama_Traoré,Wolves,34187.0,3.0,19
462,Mark_Travers,Bournemouth,0.0,1.0,2
463,Kieran_Trippier,Tottenham,1217102.0,2.0,4
464,Antonio_Valencia,Manchester Utd,41761.0,2.0,16
465,Yan_Valery,Southampton,0.0,2.0,10
466,Jamie_Vardy,Leicester City,242752.0,4.0,3
467,Jan_Vertonghen,Tottenham,414376.0,2.0,4
468,Jannik_Vestergaard,Southampton,29273.0,2.0,10
469,Luciano_Vietto,Fulham,21756.0,4.0,14
470,Rúben_Vinagre,Wolves,7145.0,2.0,19
471,Sam_Vokes,Burnley,53452.0,4.0,18
472,Michel_Vorm,Tottenham,5427.0,1.0,4
473,Matej_Vydra,Burnley,7173.0,4.0,18
474,Theo_Walcott,Everton,93127.0,3.0,17
475,Kyle_Walker,Manchester City,545462.0,2.0,1
476,Kyle_Walker-Peters,Tottenham,22811.0,2.0,4
477,Aaron_Wan-Bissaka,Crystal Palace,652304.0,3.0,13
478,Victor_Wanyama,Tottenham,2567.0,3.0,4
479,Danny_Ward,Cardiff City,15437.0,3.0,11
480,Joel_Ward,Crystal Palace,20760.0,2.0,13
481,Stephen_Ward,Burnley,120639.0,2.0,18
482,James_Ward-Prowse,Southampton,27127.0,3.0,10
483,Danny_Welbeck,Arsenal,28663.0,4.0,12
