,id,full_names,element_type,team,selected,cost
192,141,Jeffrey_Schlupp_141,2,7,29820,45
193,142,Patrick_van Aanholt_142,2,7,244166,55
194,143,Mamadou_Sakho_143,2,7,67303,50
195,144,Jairo_Riedewald_144,2,7,4442,45
196,145,Aaron_Wan-Bissaka_145,2,7,652304,40
197,147,James_McArthur_147,3,7,85461,50
198,148,Bakary_Sako_148,3,7,1455,50
199,149,Andros_Townsend_149,3,7,115533,60
200,150,Luka_Milivojevic_150,3,7,465750,65
201,151,Wilfried_Zaha_151,4,7,1424847,70
202,152,Christian_Benteke_152,4,7,54689,65
203,153,Alexander_Sørloth_153,4,7,14555,50
204,412,Cheikhou_Kouyaté_412,3,7,27371,50
205,441,Joel_Ward_441,2,7,20760,45
206,442,Jaroslaw_Jach_442,2,7,3994,40
207,443,Pape_Souaré_443,2,7,6259,45
208,444,Connor_Wickham_444,4,7,9466,50
209,477,Sullay_Kaikai_477,3,7,9165,45
210,486,Max_Meyer_486,3,7,41672,60
211,505,Jordan_Ayew_505,4,7,23777,60
212,576,Joe_Tupper_576,1,7,0,0
213,584,Lucas_Perri_584,1,7,0,0
214,592,Michy_Batshuayi_592,4,7,0,0
215,609,Sam_Woods_609,2,7,0,0
216,618,Luke_Dreher_618,3,7,0,0
217,619,Nikola_Tavares_619,2,7,0,0
218,154,Jordan_Pickford_154,1,8,985344,50
219,155,Maarten_Stekelenburg_155,1,8,219323,40
220,156,Leighton_Baines_156,2,8,84579,55
221,157,Seamus_Coleman_157,2,8,148392,55
222,158,Phil_Jagielka_158,2,8,100143,45
223,159,Ashley_Williams_159,2,8,7642,45
224,160,Mason_Holgate_160,2,8,3574,45
225,161,Jonjoe_Kenny_161,2,8,11386,45
226,162,Michael_Keane_162,2,8,117954,50
227,163,Cuco_Martina_163,2,8,9177,45
228,164,Theo_Walcott_164,3,8,93127,65
