,id,full_names,element_type,team,cost,selected
171,107,Emerson_Palmieri dos Santos_107,2,6,55,45795
172,108,Andreas_Christensen_108,2,6,50,52353
173,109,Davide_Zappacosta_109,2,6,45,27445
174,110,Olivier_Giroud_110,4,6,70,130453
175,111,Kepa_Arrizabalaga_111,1,6,55,282338
176,112,Willy_Caballero_112,1,6,50,13954
177,113,Willian_Borges Da Silva_113,3,6,70,47254
178,114,Pedro_Rodríguez Ledesma_114,3,6,70,170160
179,115,Ruben_Loftus-Cheek_115,3,6,65,6591
180,116,Callum_Hudson-Odoi_116,3,6,60,10428
181,117,Ross_Barkley_117,3,6,60,422507
182,118,Jorge Luiz_Frello Filho_118,3,6,50,220477
183,119,N'Golo_Kanté_119,3,6,50,396047
184,121,Ethan_Ampadu_121,3,6,45,1685
185,431,Christian_Pulisic_431,3,6,75,498277
186,432,Mateo_Kovacic_432,3,6,55,49783
187,459,Kurt_Zouma_459,2,6,50,184424
188,460,Tammy_Abraham_460,4,6,70,115213
189,461,Michy_Batshuayi_461,4,6,70,48493
190,462,Robert Kenedy_Nunes do Nascimento_462,3,6,55,4186
191,463,Mason_Mount_463,3,6,60,47474
192,506,Reece_James_506,2,6,50,3524
193,529,Fikayo_Tomori_529,2,6,45,0
194,533,Billy_Gilmour_533,3,6,0,0
195,545,Addji Keaninkin Marc-Israel_Guehi_545,2,6,0,0
196,630,Faustino_Anjorin_630,3,6,0,0
197,631,Armando_Broja_631,4,6,0,0
198,657,Lewis_Bate_657,3,6,0,0
199,123,Patrick_van Aanholt_123,2,7,55,370787
200,124,James_Tomkins_124,2,7,50,769
201,125,Mamadou_Sakho_125,2,7,50,5794
202,126,Joel_Ward_126,2,7,45,25054
203,127,Scott_Dann_127,2,7,45,13571
204,128,Martin_Kelly_128,2,7,40,1343781
205,129,Christian_Benteke_129,4,7,60,56054
206,130,Connor_Wickham_130,4,7,45,280588
207,131,Vicente_Guaita_131,1,7,50,22626
208,132,Wayne_Hennessey_132,1,7,45,63901
209,133,Wilfried_Zaha_133,3,7,70,1082439
210,134,Luka_Milivojevic_134,3,7,70,495302
211,135,Andros_Townsend_135,3,7,60,212703
212,136,Max_Meyer_136,3,7,55,8467
213,137,Jeffrey_Schlupp_137,3,7,55,7981
214,138,James_McArthur_138,3,7,55,110758
215,139,Cheikhou_Kouyaté_139,3,7,50,10397
216,140,Luke_Dreher_140,3,7,45,4261
217,157,James_McCarthy_157,3,7,45,38471
218,468,Jordan_Ayew_468,4,7,50,155018
219,503,Gary_Cahill_503,2,7,45,116208
220,510,Víctor_Camarasa_510,3,7,50,52407
221,539,Jairo_Riedewald_539,3,7,0,0
222,556,Stephen_Henderson_556,1,7,0,0
223,578,Sam_Woods_578,2,7,0,0
224,579,Tyrick_Mitchell_579,2,7,0,0
225,580,Brandon_Pierrick_580,3,7,0,0
226,581,James_Daly_581,4,7,0,0
227,588,Nya_Kirby_588,3,7,0,0
228,608,Giovanni_McGregor_608,3,7,0,0
229,635,Nikola_Tavares_635,2,7,0,0
230,668,John-Kymani_Gordon_668,3,7,0,0
231,17,Alex_Iwobi_17,3,8,60,128875
232,141,Lucas_Digne_141,2,8,60,1405926
233,142,Yerry_Mina_142,2,8,55,39761
234,143,Michael_Keane_143,2,8,55,159291
235,144,Seamus_Coleman_144,2,8,55,192717
236,145,Leighton_Baines_145,2,8,50,7810
237,146,Cenk_Tosun_146,4,8,60,11663
238,147,Dominic_Calvert-Lewin_147,4,8,60,104923
239,148,Jordan_Pickford_148,1,8,55,513077
240,149,Maarten_Stekelenburg_149,1,8,40,471674
241,150,Richarlison_de Andrade_150,3,8,80,513213
242,151,Gylfi_Sigurdsson_151,3,8,80,791565
243,152,Bernard_Anício Caldeira Duarte_152,3,8,65,29043
244,153,Theo_Walcott_153,3,8,65,49374
245,154,Tom_Davies_154,3,8,55,7729
246,155,Ademola_Lookman_155,3,8,50,773
247,156,Idrissa_Gueye_156,3,8,50,2779
248,158,Morgan_Schneiderlin_158,3,8,45,74476
249,205,Fabian_Delph_205,2,8,55,25909
250,422,André Filipe_Tavares Gomes_422,3,8,55,68985
251,477,Lewis_Gibson_477,2,8,45,9711
252,478,Mason_Holgate_478,2,8,45,8985
253,479,Jonas_Lössl_479,1,8,45,41384
254,496,Moise_Kean_496,4,8,70,401577
255,497,Jean-Philippe_Gbamin_497,3,8,50,4598
256,511,Djibril_Sidibé_511,2,8,55,15480
